name;popularity;releases;age;loc;cbo;dit;lcom
java-design-patterns;80242;0;8;32511.0;3.0;1.0;0.0
JavaGuide;131828;0;4;;;;
LeetCodeAnimation;72498;0;4;78.0;1.0;1.0;0.0
advanced-java;69056;1;4;;;;
spring-boot;66063;163;10;311815.0;4.0;13.0;0.0
mall;64096;2;4;100638.0;3.0;4.0;13.0
elasticsearch;63004;108;13;1910853.0;5.0;176.0;1.0
GitHub-Chinese-Top-Charts;60465;0;3;5.0;0.0;1.0;0.0
interviews;59338;0;6;5621.0;1.0;2.0;0.0
spring-framework;51043;249;12;650871.0;3.0;70.0;0.0
Java;50677;0;6;28925.0;2.0;4.0;1.0
guava;46970;35;8;262839.0;2.0;66.0;0.0
RxJava;46865;231;10;369970.0;1.0;26.0;0.0
retrofit;41262;0;12;26747.0;3.0;16.0;0.0
dubbo;38534;76;10;200721.0;4.0;10.0;0.0
ghidra;37850;26;4;;;;
MPAndroidChart;36213;44;8;21111.0;5.0;6.0;1.0
jeecg-boot;33838;25;4;35815.0;4.0;4.0;0.0
jadx;33682;27;9;103602.0;3.0;21.0;0.0
lottie-android;33679;44;6;15944.0;5.0;6.0;1.0
tutorials;33601;0;9;383740.0;3.0;11.0;0.0
glide;33423;44;9;57646.0;4.0;20.0;0.0
hello-algorithm;32116;0;2;61.0;1.0;1.0;0.0
AndroidUtilCode;31936;117;6;39966.0;2.0;10.0;0.0
arthas;31920;47;4;40329.0;3.0;14.0;1.0
dbeaver;31003;171;7;418584.0;4.0;28.0;1.0
netty;30832;0;12;313134.0;2.0;26.0;0.0
zxing;30755;29;11;39611.0;4.0;6.0;0.0
spring-boot-demo;28941;0;5;7163.0;4.0;5.0;0.0
spring-boot-examples;28653;0;6;4461.0;4.0;2.0;0.0
apollo;27833;38;7;26812.0;6.0;14.0;0.0
easyexcel;27042;5;5;19667.0;5.0;8.0;1.0
JCSprout;26950;0;5;4399.0;1.0;4.0;0.0
druid;26638;48;11;318090.0;4.0;32.0;0.0
halo;26280;110;4;28560.0;5.0;8.0;0.0
selenium;26028;80;10;91202.0;4.0;28.0;0.0
miaosha;25764;0;4;8581.0;3.0;4.0;0.0
nacos;25683;52;4;111766.0;3.0;24.0;0.0
vhr;25677;0;5;2971.0;2.0;2.0;6.0
butterknife;25653;0;10;7712.0;2.0;6.0;0.0
hutool;25640;129;8;116522.0;3.0;11.0;1.0
canal;25216;26;10;107716.0;4.0;13.0;1.0
fastjson;25197;84;11;206496.0;1.0;15.0;0.0
SpringAll;25166;0;4;6035.0;4.0;4.0;0.0
proxyee-down;25102;49;5;3392.0;4.0;5.0;2.0
spring-cloud-alibaba;24994;32;5;15253.0;5.0;4.0;0.0
toBeTopJavaer;24436;0;4;;;;
kafka;24380;0;11;430849.0;4.0;17.0;0.0
EventBus;24275;7;10;5269.0;3.0;12.0;0.0
SmartRefreshLayout;24098;10;5;19480.0;3.0;6.0;0.0
xxl-job;23765;31;7;8606.0;3.0;4.0;0.0
BaseRecyclerViewAdapterHelper;23441;196;6;3931.0;3.0;7.0;0.0
seata;23432;35;4;180526.0;5.0;911.0;3.0
Signal-Android;23403;0;11;228658.0;4.0;41.0;0.0
Hystrix;23251;79;10;62010.0;2.0;114.0;0.0
NewPipe;23022;124;7;38329.0;5.0;10.0;1.0
gson;21914;6;7;32896.0;2.0;7.0;0.0
Telegram;21683;79;9;1083363.0;3.0;1520.0;0.0
leetcode;21445;19;4;3683.0;2.0;2.0;0.0
skywalking;21413;55;7;72154.0;4.0;5.0;0.0
libgdx;21220;9;10;281200.0;3.0;48.0;0.0
flink;20833;0;8;1093703.0;4.0;61.0;0.0
redisson;20759;120;9;132993.0;3.0;7.0;0.0
Sentinel;20659;23;4;54735.0;3.0;18.0;0.0
ExoPlayer;20497;23;8;240901.0;5.0;31.0;0.0
bazel;20426;195;8;594254.0;5.0;42.0;1.0
jenkins;20410;245;12;174614.0;4.0;60.0;0.0
termux-app;20006;89;7;24226.0;4.0;6.0;0.0
RxAndroid;19767;20;8;1452.0;1.0;3.0;0.0
eladmin;19420;0;4;7785.0;4.0;4.0;0.0
DoKit;19349;10;4;80463.0;2.0;18.0;0.0
rocketmq;18878;9;6;174858.0;3.0;11.0;1.0
FizzBuzzEnterpriseEdition;18722;0;10;894.0;2.0;1.0;0.0
PhotoView;18455;5;10;1792.0;3.0;3.0;0.0
GSYVideoPlayer;18333;40;6;29252.0;2.0;10.0;0.0
graal;18308;32;7;1483847.0;4.0;231.0;1.0
mybatis-3;18262;40;10;54183.0;2.0;7.0;0.0
shardingsphere;18073;52;7;174268.0;4.0;7.0;0.0
HikariCP;17948;0;9;10640.0;3.0;5.0;0.0
litemall;17787;8;4;90876.0;3.0;2.0;1.0
cat;17588;3;10;97994.0;4.0;10.0;1.0
Mindustry;17325;151;5;;;;
SpringCloudLearning;17166;0;5;1123.0;4.0;2.0;0.0
fresco;16920;45;8;68148.0;5.0;14.0;0.0
Android-Universal-Image-Loader;16813;0;11;7434.0;3.0;6.0;0.5
tinker;16705;52;6;39398.0;3.0;53.0;0.0
zheng;16451;0;6;41742.0;3.0;2.0;0.0
SpringBoot-Labs;16266;0;4;17714.0;4.0;4.0;0.0
java8-tutorial;16196;0;8;2081.0;1.0;1.0;0.0
zipkin;16056;69;10;;;;
Apktool;15880;16;10;11699.0;4.0;5.0;3.0
disruptor;15821;13;10;13150.0;3.0;8.0;0.0
openapi-generator;15576;53;4;194282.0;4.0;12.0;1.0
springboot-learning-example;15313;0;6;1641.0;3.5;3.0;0.0
Android-CleanArchitecture;15304;0;8;2260.0;4.0;3.0;1.0
jdk;15286;0;4;;;;
keycloak;15245;33;9;475574.0;4.0;25.0;1.0
SpringBoot-Learning;15028;0;6;2790.0;4.0;3.0;0.0
APIJSON;14897;92;6;11679.0;2.0;4.0;5.0
elasticsearch-analysis-ik;14863;184;11;2051.0;4.5;2.0;1.0
material-components-android;14669;67;6;97236.0;4.0;11.0;1.0
presto;14530;0;10;662396.0;6.0;26.0;1.0
JustAuth;14503;44;4;5287.0;2.0;4.0;6.0
Algorithms;14473;0;5;32435.0;2.0;2.0;3.0
CircleImageView;14391;0;9;360.0;5.0;3.0;0.0
VirtualXposed;14210;50;5;47736.0;2.0;303.0;0.0
mybatis-plus;14160;24;6;26370.0;4.0;7.0;0.0
ARouter;14120;16;6;3165.0;2.0;4.0;0.0
antlr4;14032;28;13;40812.0;3.0;9.0;0.0
QMUI_Android;13982;35;5;58309.0;3.0;16.0;0.0
mockito;13756;199;10;50071.0;2.0;19.0;0.0
bytecode-viewer;13573;58;8;18981.0;3.0;10.0;0.0
Material-Animations;13552;0;8;1010.0;2.0;3.0;0.0
logger;13536;16;7;827.0;6.0;2.0;0.0
BigData-Notes;13526;0;4;2124.0;5.0;2.0;0.0
Arduino;13443;37;12;25793.0;2.0;21.0;0.0
vert.x;13438;0;11;135508.0;3.0;11.0;1.0
logstash;13322;108;12;35828.0;4.0;52.0;1.0
hadoop;13321;0;8;1593789.0;4.0;77.0;0.0
caffeine;13277;65;8;74865.0;3.0;22.0;0.0
thingsboard;13273;53;6;158986.0;5.0;9.0;0.0
Android-PickerView;13259;0;8;4421.0;2.0;2.0;0.0
flink-learning;13251;0;4;13941.0;3.0;4.0;0.0
Luban;13198;6;6;1088.0;1.0;2.0;1.0
tink;13049;21;8;70408.0;5.0;41.0;1.0
DataX;13046;3;5;69223.0;3.0;8.0;0.0
ip2region;12983;0;7;2336.0;2.0;3.0;1.0
AndroidAutoSize;12882;14;4;1720.0;4.0;2.0;1.0
deeplearning4j;12815;0;9;624008.0;7.0;1464.0;6.0
Grasscutter;12722;6;0;;;;
pinpoint;12643;52;8;344764.0;3.0;20.0;0.0
stetho;12623;13;8;19224.0;3.0;21.0;0.0
jib;12595;145;5;34814.0;5.0;5.0;0.0
greenDAO;12561;8;11;18545.0;4.0;8.0;1.0
zuul;12483;5;10;19487.0;4.0;10.0;1.0
pulsar;12396;63;6;448956.0;4.0;149.0;0.0
spring-analysis;12395;0;6;378.0;2.0;4.0;0.0
Matisse;12377;15;5;3418.0;5.0;4.0;0.0
banner;12319;0;6;2713.0;5.0;4.0;1.0
AndroidSwipeLayout;12280;18;8;2770.0;2.0;3.0;0.0
jd-gui;12273;18;7;19309.0;3.0;15.0;1.0
PictureSelector;12269;113;6;39212.0;2.0;9.0;0.0
AndroidViewAnimations;12245;9;8;965.0;2.0;2.0;0.0
piggymetrics;12206;2;7;1881.0;5.0;2.0;0.0
lombok;11823;3;13;;;;
mall-learning;11818;0;3;29041.0;3.0;4.0;1.0
guice;11817;15;8;78717.0;3.0;43.0;0.0
Sa-Token;11795;28;3;18796.0;3.0;5.0;1.0
eureka;11734;146;10;32744.0;4.0;9.0;0.0
VasSonic;11633;10;5;7421.0;2.0;4.0;0.0
Mybatis-PageHelper;11585;11;8;7108.0;6.0;5.0;0.0
spring-boot-admin;11562;99;8;13295.0;6.0;5.0;0.0
source-code-hunter;11502;0;3;;;;
quarkus;11484;221;4;652828.0;4.0;16.0;0.0
uCrop;11453;15;7;4643.0;3.0;7.0;1.0
realm-java;11365;0;10;109889.0;2.0;16.0;0.0
neo4j;11177;72;10;551597.0;4.0;58.0;1.0
androidannotations;11132;0;11;28800.0;4.0;10.0;1.0
zookeeper;11132;0;13;117032.0;3.0;96.0;0.0
SlidingMenu;11131;0;10;3085.0;3.0;7.0;0.0
PermissionsDispatcher;11100;40;7;3184.0;0.0;4.0;3.0
fullstack-tutorial;11024;0;4;;;;
DSA-Bootcamp-Java;10999;0;1;5086.0;1.0;3.0;1.0
mit-deep-learning-book-pdf;10987;3;5;2.0;0.0;1.0;0.0
jedis;10956;74;12;61143.0;3.0;7.0;1.0
onedev;10941;245;4;241390.0;4.0;8.0;0.0
vlayout;10831;34;6;14042.0;3.0;7.0;0.0
FlycoTabLayout;10813;4;7;2730.0;3.0;3.0;1.0
webmagic;10756;23;9;8676.0;4.0;9.0;1.0
FileDownloader;10746;65;7;14387.0;2.0;28.0;1.0
ImmersionBar;10708;0;5;7237.0;5.0;4.0;3.0
interview;10704;0;8;27259.0;2.0;4.0;1.0
dex2jar;10688;6;7;41007.0;3.0;8.0;0.0
android-async-http;10645;3;12;7620.0;4.0;5.0;3.0
zaproxy;10592;309;7;179090.0;3.0;32.0;1.0
CtCI-6th-Edition;10557;0;7;21093.0;2.0;5.0;1.0
okhttp-OkGo;10508;14;7;13418.0;5.0;7.0;0.0
JiaoZiVideoPlayer;10444;78;7;4511.0;6.0;4.0;4.0
RxPermissions;10426;11;7;876.0;2.0;2.0;0.0
ruoyi-vue-pro;10420;16;2;40359.0;5.0;4.0;0.0
grpc-java;10410;137;8;223981.0;3.0;22.0;0.0
SmarterStreaming;10402;0;6;10750.0;2.0;2.0;0.0
algorithm-base;10355;0;1;;;;
platform_frameworks_base;10340;0;14;;;;
questdb;10241;62;8;347254.0;4.0;28.0;1.0
MVPArms;10200;25;6;5986.0;5.0;3.0;3.0
ViewPagerIndicator;10189;0;11;2947.0;6.0;4.0;0.0
javapoet;10100;0;10;7520.0;2.0;5.0;0.0
dolphinscheduler;10082;40;4;100313.0;4.0;7.0;0.0
auto;10046;57;9;30540.0;3.0;80.0;1.0
jsoup;10026;9;13;29586.0;3.0;58.0;1.0
cas;10013;240;11;192399.0;8.0;60.0;0.0
tech-interview-for-developer;9954;0;3;636.0;1.0;1.0;0.0
mall-swarm;9936;2;3;101020.0;3.0;4.0;13.0
clojure;9901;0;12;44087.0;0.0;48.0;0.0
android-interview-questions;9820;0;5;5.0;0.0;1.0;0.0
newbee-mall;9800;0;3;3935.0;2.0;4.0;4.0
glide-transformations;9747;0;8;991.0;5.0;3.0;0.0
Fragmentation;9734;30;7;8981.0;3.0;5.0;0.0
AVLoadingIndicatorView;9696;1;7;2161.0;2.0;4.0;0.0
SmartTubeNext;9657;122;2;167774.0;5.0;49.0;1.0
easypermissions;9640;12;7;1705.0;8.0;3.0;6.0
Java-WebSocket;9624;14;13;14502.0;2.0;7.0;3.5
android-Ultra-Pull-To-Refresh;9623;8;8;5476.0;2.0;5.0;0.0
react-native-camera;9614;144;7;;;;
Android-ObservableScrollView;9610;0;8;12621.0;3.0;7.0;0.0
paascloud-master;9547;0;4;16428.0;4.0;5.0;0.0
spark;9463;0;11;9588.0;3.0;5.0;0.0
AndroidSlidingUpPanel;9452;8;9;2011.0;2.0;4.0;0.0
PocketHub;9417;1;11;6980.0;5.0;4.0;0.0
DanmakuFlameMaster;9404;5;9;12879.0;3.0;14.0;1.0
MagicIndicator;9378;12;6;4533.0;4.0;4.0;3.0
Mycat-Server;9376;7;8;92943.0;3.0;12.0;0.0
jvm;9346;0;4;5.0;0.0;1.0;0.0
OpenRefine;9333;45;10;66467.0;5.0;9.0;1.0
android-gif-drawable;9316;57;10;2946.0;4.0;10.0;0.0
JsBridge;9267;0;8;995.0;1.5;2.0;0.0
Activiti;9266;210;10;144069.0;4.0;8.0;1.0
spring-boot-api-project-seed;9265;4;5;484.0;4.0;4.0;0.0
COLA;9227;9;5;5963.0;3.0;5.0;0.0
VirtualApp;9181;0;6;46624.0;2.0;303.0;0.0
dataease;9154;49;2;47787.0;3.0;4.0;0.0
cryptomator;9071;146;9;13696.0;6.0;6.0;1.0
MaterialDesignLibrary;9053;3;8;2927.0;3.0;6.0;0.0
LSPosed;9023;36;2;22943.0;3.0;16.0;0.0
QtScrcpy;8980;28;3;3988.0;2.0;4.0;0.0
metersphere;8937;133;3;264956.0;3.0;5.0;0.0
jjwt;8912;0;8;5254.0;3.0;8.0;1.0
CoreNLP;8889;12;9;562044.0;4.0;121.0;0.0
storm;8884;0;11;60552.0;3.0;20.0;1.0
AndroidNote;8849;0;7;402.0;1.0;2.0;3.0
VirtualAPK;8821;4;5;7981.0;3.0;17.0;1.0
StatusBarUtil;8810;0;7;1036.0;3.0;3.0;0.0
AgentWeb;8803;19;5;11378.0;3.0;9.0;0.0
testing-samples;8771;0;8;1809.0;6.0;3.0;0.0
cim;8764;7;4;7280.0;3.0;7.0;0.0
hello-algo;8757;1;0;2219.0;2.0;1.0;0.0
Android-PullToRefresh;8748;0;11;3567.0;4.5;7.0;1.0
feign;8670;28;9;30656.0;3.0;92.0;0.0
resilience4j;8635;32;7;52469.0;5.5;15.0;1.0
android-gpuimage;8626;0;10;6341.0;2.0;7.0;0.0
Calligraphy;8598;4;9;968.0;5.0;3.0;3.0
Android_Data;8594;0;7;116.0;2.0;1.0;3.0
CalendarView;8591;0;6;11557.0;4.0;5.0;3.0
awesome-java-leetcode;8513;0;5;1772.0;2.0;1.0;1.0
buck;8502;57;9;;;;
BottomBar;8431;4;6;2834.0;2.0;4.0;0.0
junit4;8415;13;14;32915.0;3.0;14.0;0.0
quickstart-android;8387;0;6;6647.0;3.0;3.0;0.0
Android-SpinKit;8376;0;6;1812.0;5.0;9.0;1.0
dropwizard;8364;137;12;41279.0;4.0;13.0;0.0
languagetool;8338;0;9;195039.0;4.0;28.0;1.0
debezium;8218;0;7;139821.0;4.0;25.0;1.0
supertokens-core;8215;21;3;43528.0;8.5;7.0;3.0
AndResGuard;8205;4;7;6506.0;2.0;4.0;1.5
Jetpack-MVVM-Best-Practice;8194;0;3;3608.0;3.0;6.0;0.0
MaterialViewPager;8190;11;7;1616.0;3.0;3.0;0.0
conductor;8176;313;6;46264.0;5.0;4.0;0.0
epoxy;8161;73;6;43286.0;5.0;18.0;1.0
Android-Debug-Database;8151;12;6;2393.0;4.0;3.0;0.0
Signal-Server;8117;0;9;36843.0;4.0;4.0;0.0
atlas;8096;7;6;157514.0;4.0;13.0;1.0
yudao-cloud;8067;1;3;27230.0;5.0;4.0;0.0
kkFileView;8040;11;5;8705.0;5.0;2.0;1.0
hsweb-framework;8005;26;7;18591.0;4.0;8.0;0.0
SpringCloud;8002;0;5;3091.0;5.0;5.0;0.0
react-native-image-picker;7941;117;7;835.0;4.0;2.0;0.0
LitePal;7937;0;10;11830.0;3.0;6.0;0.0
SimianArmy;7927;4;10;16056.0;4.0;5.0;3.0
HomeMirror;7889;0;7;1719.0;2.0;2.0;0.0
material-theme-jetbrains;7885;17;7;14517.0;3.0;10.0;1.0
hugo;7876;0;9;384.0;7.0;2.0;6.0
cassandra;7856;0;13;492038.0;4.0;63.0;1.0
shardingsphere-elasticjob;7829;28;7;22317.0;4.0;4.0;0.0
tsunami-security-scanner;7797;14;2;7647.0;5.0;5.0;0.0
spider-flow;7759;2;2;8748.0;4.0;43.0;1.0
JsonPath;7731;8;12;16721.0;3.0;13.0;0.0
RxLifecycle;7712;22;7;2368.0;6.0;7.0;0.0
metrics;7702;104;13;26525.0;4.0;11.0;0.0
jna;7698;0;11;105956.0;3.0;125.0;0.0
shenyu;7679;8;4;102383.0;4.0;6.0;1.0
plantuml;7679;26;12;184298.0;5.0;19.0;1.0
EhViewer;7675;97;8;44372.0;4.0;16.0;1.0
UltimateAndroidReference;7654;0;5;22.0;1.0;1.0;0.0
sonarqube;7587;36;12;360822.0;4.0;10.0;0.0
checkstyle;7587;126;9;;;;
otter;7569;10;9;68151.0;3.0;7.0;1.0
RxJava-Android-Samples;7547;0;8;2633.0;3.0;4.0;3.0
AndroidPdfViewer;7524;0;6;3328.0;1.0;4.0;0.0
spring-security;7519;132;11;194099.0;5.0;18.0;0.0
subsampling-scale-image-view;7504;21;9;4262.0;3.5;5.0;0.0
litho;7502;52;6;123595.0;4.0;10.0;0.0
doris;7479;19;5;358503.0;5.0;12.0;0.0
cachecloud;7455;3;7;48349.0;2.0;3.0;0.0
vjtools;7438;9;4;18382.0;2.0;6.0;1.0
trino;7406;0;4;;;;
datahub;7375;72;7;74290.0;8.0;4.0;1.0
MyBookshelf;7371;165;4;48375.0;4.0;6.0;1.0
hellocharts-android;7370;14;8;10995.0;3.0;5.0;1.0
AndroidAsync;7349;0;10;18086.0;2.0;29.0;0.0
toBeBetterJavaer;7310;0;4;;;;
dagger;7292;0;10;8043.0;3.0;8.0;0.0
android-classyshark;7272;17;7;8714.0;2.0;7.0;1.0
Android-Bootstrap;7269;5;9;10389.0;3.0;4.0;2.0
sweet-alert-dialog;7265;2;8;943.0;1.5;2.0;0.0
ShortcutBadger;7254;0;9;885.0;5.0;3.0;1.0
MVVMHabit;7246;3;5;9110.0;2.0;4.0;0.0
agera;7244;16;7;10897.0;4.0;5.0;0.0
UltimateRecyclerView;7232;9;8;16083.0;3.0;7.0;0.0
TakePhoto;7216;15;7;2403.0;2.0;3.0;1.0
Paper;7215;1;7;163.0;5.0;2.0;3.0
aws-doc-sdk-examples;7214;0;6;56040.0;5.0;5.0;1.0
algs4;7206;0;7;21724.0;4.0;2.0;0.0
WeChatLuckyMoney;7164;20;7;931.0;3.0;2.0;1.0
swagger-core;7144;85;11;34864.0;3.0;9.0;0.0
ActionBarSherlock;7137;32;12;26463.0;4.0;11.0;0.0
SpringCloud-Learning;7114;0;6;13492.0;4.0;4.0;1.0
RePlugin;7111;18;5;29883.0;3.0;5.0;0.0
zfile;7081;60;3;6522.0;4.0;6.0;0.0
Mapper;7053;4;8;18026.0;4.0;4.0;0.0
flyway;7051;176;10;22395.0;5.0;6.0;1.0
LeetCode;7045;0;3;3683.0;2.0;2.0;0.0
